dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,0,1,recursive,-4.4528224253392912e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,0,1,direct,-9.2812217912402415e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,1,0,0,1,fe_geometry,-9.2812217912402415e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,0,1,recursive,1.1426297965722409e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,0,1,direct,1.7502451603389803e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,0,1,fe_geometry,1.7502451603389797e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,1,1,recursive,-4.8259974893272692e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,1,1,direct,1.4485690750494604e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,1,1,fe_geometry,1.4485690750494611e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,2,0,0,2,recursive,-2.7888220210980028e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.13488479200168513,0.01116620801622048
