family,n,p,amplitude,qextra,field,multi,path,error_l2,path_minus_mean_l2,exact_l2,best_projection_error_l2,input_error_l2,first_weak_relative,constant_max,min_jacobian_det,quadrature_order,elements
quad,2,3,0,0,sine,xy,xy,0.05550654829831831,3.3158073693651661e-14,4.2297519258051732,0.0042292006835303727,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xy,yx,0.055506548298308256,3.3217449273802552e-14,4.2297519258051732,0.0042292006835303727,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xy,mean,0.055506548298313287,0,4.2297519258051732,0.0042292006835303727,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xxy,xxy,0.39748642143456497,3.5534373406878617e-13,8.510980823888028,0.0085344273028557221,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xxy,xyx,0.39748642143458257,3.1519496674600228e-13,8.510980823888028,0.0085344273028557221,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xxy,yxx,0.39748642143472807,6.5997753592431431e-13,8.510980823888028,0.0085344273028557221,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xxy,mean,0.39748642143462509,0,8.510980823888028,0.0085344273028557221,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xyy,xyy,1.2416021503655705,7.174004293756162e-13,12.766471235832018,0.012801640954283607,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xyy,yxy,1.2416021503653012,3.9824733652158445e-13,12.766471235832018,0.012801640954283607,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xyy,yyx,1.2416021503653061,3.4299185025928628e-13,12.766471235832018,0.012801640954283607,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,sine,xyy,mean,1.2416021503653922,0,12.766471235832018,0.012801640954283607,0.00070486678058839726,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xy,xy,0.00054675386399295907,8.5517182587676485e-14,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xy,yx,0.000546753863963782,8.5522623109560006e-14,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xy,mean,0.00054675386397836376,0,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xxy,xxy,0.01276050621741983,9.6255919472017949e-13,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xxy,xyx,0.012760506217445667,9.3651983315563999e-13,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xxy,yxx,0.012760506216647892,1.8916069858662748e-12,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xxy,mean,0.012760506217171168,0,1.1714413662129,1.4303290843673469e-05,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xyy,xyy,0.0016478474309425039,1.8591392447282447e-12,0.58572068310644998,7.1516454218367345e-06,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xyy,yxy,0.0016478474307748327,9.3606970405892508e-13,0.58572068310644998,7.1516454218367345e-06,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xyy,yyx,0.0016478474307753369,9.2502641923293221e-13,0.58572068310644998,7.1516454218367345e-06,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,exponential,xyy,mean,0.0016478474308308957,0,0.58572068310644998,7.1516454218367345e-06,2.8606581687346938e-05,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xy,xy,1.0881569427618678e-13,1.9026430687570693e-14,2.1602468994692878,2.043894823325463e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xy,yx,1.0835177178080613e-13,1.9019046188290043e-14,2.1602468994692878,2.043894823325463e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xy,mean,1.0692474463323134e-13,0,2.1602468994692878,2.043894823325463e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xxy,xxy,1.4909788818898304e-12,2.5532929108524587e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xxy,xyx,1.484361992802541e-12,2.2331511044875332e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xxy,yxx,1.1644691380295108e-12,4.72388689719056e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xxy,mean,1.3470922661742668e-12,0,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xyy,xyy,1.6003143476417898e-12,3.6451996494569415e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xyy,yxy,1.5832718010010768e-12,1.8377067542626032e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xyy,yyx,1.5538553023581735e-12,1.882125142071832e-13,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,2,3,0,0,cubic,xyy,mean,1.557769223551524e-12,0,2.0000000000000004,1.9613331499360424e-15,6.078231415653652e-16,7.4940054162198066e-16,2.2204460492503131e-14,0.24999999999999717,28,4
quad,4,3,0,0,sine,xy,xy,0.0070210304809196159,1.2207510283174993e-13,4.229751925805183,0.00026909052903919574,4.48484215065346e-05,5.0653925498522767e-16,5.6843418860808015e-14,0.062499999999998043,28,16
quad,4,3,0,0,sine,xy,yx,0.0070210304809084287,1.2206383148086869e-13,4.229751925805183,0.00026909052903919574,4.48484215065346e-05,5.0653925498522767e-16,5.6843418860808015e-14,0.062499999999998043,28,16
quad,4,3,0,0,sine,xy,mean,0.007021030480914018,0,4.229751925805183,0.00026909052903919574,4.48484215065346e-05,5.0653925498522767e-16,5.6843418860808015e-14,0.062499999999998043,28,16
