family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
quad,4,2,0,gll,coupled,0,sine,x,recursive,0.01454940298798338,0.010256916298399197,0.052691549360263545,1.4184968039813401,0.02739790415935018,0.019322893869359932,0.011399555447198253,0.010069214295023218,0.00097693468996471128,7.438316273337151e-15,5.222396674963066e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,x,direct,0.014549402987989435,0.010256916298403466,0.052691549360281531,1.4184968039813401,0.02739790415936124,0.019322893869367731,0.011399555447204021,0.010069214295028075,0.00097693468996471128,0,0,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,x,fe_geometry,0.01454940298795996,0.010256916298382686,0.052691549360148526,1.4184968039813401,0.027397904159306881,0.019322893869329394,0.011399555447206739,0.010069214295031192,0.00097693468996471128,4.3669722639419068e-14,3.0660247013985007e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,y,recursive,0.048509055485968892,0.022798338518078724,0.16603116680858498,2.1277452059720043,0.090662997494545025,0.042627870810263452,0.046027207330301398,0.031107493639955183,0.00097693468996471128,7.103707443822028e-15,3.3087014596283195e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,y,direct,0.04850905548597427,0.022798338518081249,0.16603116680862096,2.1277452059720043,0.090662997494555225,0.042627870810268247,0.046027207330304687,0.031107493639957212,0.00097693468996471128,0,0,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,y,fe_geometry,0.048509055485973819,0.022798338518081038,0.16603116680871244,2.1277452059720043,0.090662997494552436,0.042627870810266935,0.046027207330293272,0.031107493639947775,0.00097693468996471128,4.0602219901420378e-14,1.8911339651073796e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,xx,recursive,0.40818384530256391,0.14475453376318126,1.0027871558750436,2.819834617203449,0.57663646342060149,0.20440579148862895,0.98984494476860319,0.64002363857453359,0.00097693468996471128,2.0244418895512355e-13,7.2123820553740691e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,xx,direct,0.40818384530273483,0.14475453376324185,1.0027871558752608,2.819834617203449,0.57663646342082919,0.20440579148870966,0.98984494476903129,0.64002363857482547,0.00097693468996471128,0,0,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,xx,fe_geometry,0.40818384530173651,0.1447545337628878,1.0027871558700796,2.819834617203449,0.5766364634194544,0.20440579148822233,0.98984494476601914,0.64002363857293754,0.00097693468996471128,1.6056233437473857e-12,5.7202773030449453e-13,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
quad,4,2,0,gll,coupled,0,sine,xy,recursive,0.11191287046788709,0.026458495068025317,0.48414057066108729,4.2297519258051857,0.21740366996427365,0.051376759362933573,0.10102217513283879,0.080744425191719635,0.00097693468996471128,8.2827432142143351e-14,1.9327591884561973e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0033251269778702408,0.12506955832941458
