family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual,reused_first_residual,reused_geometry_residual
quad,4,2,0,gll,coupled,0,sine,x,recursive,0.01454940298798338,0.010256916298399197,0.052691549360263545,1.4184968039813401,0.02739790415935018,0.019322893869359932,0.011399555447198253,0.010069214295023218,0.00097693468996471128,7.438316273337151e-15,5.222396674963066e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,x,direct,0.014549402987989435,0.010256916298403466,0.052691549360281531,1.4184968039813401,0.02739790415936124,0.019322893869367731,0.011399555447204021,0.010069214295028075,0.00097693468996471128,0,0,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,x,fe_geometry,0.01454940298795996,0.010256916298382686,0.052691549360148526,1.4184968039813401,0.027397904159306881,0.019322893869329394,0.011399555447206739,0.010069214295031192,0.00097693468996471128,4.3669722639419068e-14,3.0660247013985007e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,x,reused,0.014549402987983249,0.010256916298399105,0.052691549360204482,1.4184968039813401,0.027397904159351331,0.019322893869360744,0.011399555447204106,0.010069214295027364,0.00097693468996471128,1.3504747511197396e-14,9.4816011993869524e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,x,reused_centered,0.014549402987985219,0.010256916298400495,0.052691549360220469,1.4184968039813401,0.027397904159352594,0.019322893869361635,0.011399555447204043,0.010069214295027384,0.00097693468996471128,1.0414260088283276e-14,7.3117887514684289e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,y,recursive,0.048509055485968892,0.022798338518078724,0.16603116680858498,2.1277452059720043,0.090662997494545025,0.042627870810263452,0.046027207330301398,0.031107493639955183,0.00097693468996471128,7.103707443822028e-15,3.3087014596283195e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,y,direct,0.04850905548597427,0.022798338518081249,0.16603116680862096,2.1277452059720043,0.090662997494555225,0.042627870810268247,0.046027207330304687,0.031107493639957212,0.00097693468996471128,0,0,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,y,fe_geometry,0.048509055485973819,0.022798338518081038,0.16603116680871244,2.1277452059720043,0.090662997494552436,0.042627870810266935,0.046027207330293272,0.031107493639947775,0.00097693468996471128,4.0602219901420378e-14,1.8911339651073796e-14,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,y,reused,0.048509055485968143,0.02279833851807837,0.16603116680855168,2.1277452059720043,0.090662997494545053,0.042627870810263466,0.046027207330310724,0.031107493639961969,0.00097693468996471128,1.4133747643349414e-14,6.5830908476162936e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
quad,4,2,0,gll,coupled,0,sine,y,reused_centered,0.048509055485970537,0.022798338518079494,0.16603116680855967,2.1277452059720043,0.090662997494546552,0.042627870810264167,0.04602720733030953,0.031107493639960935,0.00097693468996471128,1.0595694300180737e-14,4.9351679350580235e-15,0,2.6645352591003757e-15,1.1267722748374134e-13,3.1086244689504383e-15,0.062499999999998328,16,1.3017677039160819e-12,7.360148195436318e-14,8.8817841970012523e-16,1.598964054255242e-11,2.0720022927192822e-13,1.865174681370263e-14,0.0036132500099483877,0.15268147672759369,2.2204460492503126e-16,6.8607923841269756e-14,3.2418512319054571e-14
