dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,0,0,1,recursive,-5.7767790594721629e-16,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,0,0,1,direct,-9.0744345404257113e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,0,0,1,fe_geometry,-9.0744345404259512e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,0,0,1,reused,-3.8850015362111746e-16,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,0,0,1,reused_centered,1.5149370903200961e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,0,1,0,1,recursive,-1.8098489473149871e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,0,1,0,1,direct,-3.1535386520964816e-14,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,0,1,0,1,fe_geometry,-3.1535386520964576e-14,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,0,1,0,1,reused,-1.5558300749983616e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,0,1,0,1,reused_centered,7.7580403115019151e-16,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,2,0,0,2,recursive,2.9973767111432782e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,2,0,0,2,direct,1.2811100677814929e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,2,0,0,2,fe_geometry,1.2811100677814952e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,2,0,0,2,reused,-1.817384002051676e-14,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,2,0,0,2,reused_centered,5.1168184650044851e-15,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,1,0,2,recursive,-1.8231055796086326e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,1,0,2,direct,1.1085674671714527e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
2,2,1,10,0,0.23000000000000001,0.31,0.37,0.46604250000000036,0.57650775000000043,0,constant,1,1,0,2,fe_geometry,1.1085674671714528e-13,6.6613381477509392e-16,3.7747582837255322e-15,2.7755575615628914e-17,0.00088691699784249067,0.0006964579806663096,1.2215060396697665e-16
